len_word,pos,neg,rating
93,6,3,5
666,28,7,4
124,3,1,2
37,2,3,1
32,4,2,3
28,1,0,5
24,2,1,5
33,3,0,5
30,3,0,4
28,1,1,5
76,5,5,3
76,6,1,4
174,5,3,5
99,4,0,5
43,2,2,1
48,4,1,5
210,9,8,5
33,3,0,5
24,3,0,5
61,5,0,5
24,3,0,5
150,5,1,5
270,5,2,5
55,6,1,5
41,5,2,4
35,3,0,5
80,3,1,5
60,5,1,4
125,3,6,5
24,3,0,5
47,0,0,5
71,5,2,2
30,4,0,4
101,3,3,4
22,3,0,5
23,0,1,4
28,2,1,5
30,2,0,5
32,2,0,3
48,3,2,5
188,12,1,5
127,8,4,5
54,3,1,4
30,2,1,5
34,4,2,5
55,4,1,5
96,7,1,4
208,4,6,5
259,8,5,4
713,24,16,1
24,4,0,5
52,1,1,3
31,4,0,5
203,11,2,4
53,3,2,5
22,4,0,5
32,5,1,4
56,2,2,5
132,6,2,5
27,2,1,4
71,7,0,4
144,8,1,4
68,7,0,5
57,4,3,5
77,2,2,3
24,2,0,5
62,3,1,5
24,2,1,5
73,3,2,5
23,1,1,5
270,12,2,5
24,2,0,5
208,6,2,4
161,14,3,5
25,3,1,5
62,4,0,5
54,5,0,5
157,14,1,5
44,1,2,5
175,8,5,5
97,4,1,4
180,6,3,5
24,4,0,4
60,4,0,5
437,14,13,3
177,10,3,3
82,10,1,5
185,8,2,3
44,2,2,5
46,4,4,5
104,5,0,4
124,12,5,5
132,5,4,5
50,3,1,5
167,9,4,5
27,3,0,5
145,8,4,5
64,4,0,5
196,11,3,2
73,3,0,5
42,2,0,4
90,4,3,5
50,2,2,5
81,3,1,4
35,1,1,3
29,3,1,5
221,10,2,5
32,3,0,5
65,2,1,5
42,7,0,4
416,13,10,5
133,9,7,5
47,4,0,5
62,3,0,4
145,4,3,3
499,16,10,4
129,5,3,5
134,6,1,4
35,2,0,5
69,4,0,5
33,2,0,5
60,6,1,5
71,4,1,5
73,7,1,5
30,3,1,5
43,3,0,5
122,6,0,5
106,8,4,5
102,6,4,4
87,8,0,5
54,1,3,5
87,5,1,5
675,23,17,5
43,5,0,5
90,5,0,4
69,1,1,5
50,3,0,4
92,3,2,5
27,2,0,5
40,6,0,5
146,10,1,5
118,5,1,5
18,2,0,5
56,0,2,5
26,2,1,5
131,7,3,4
30,3,0,5
281,16,4,4
31,2,0,5
46,2,1,5
49,1,0,5
35,4,0,5
89,3,0,5
41,3,0,5
238,7,12,5
40,3,1,5
61,3,3,4
51,3,0,5
96,4,2,4
30,2,0,3
43,2,0,5
62,0,0,5
68,5,1,5
161,10,2,5
498,25,13,5
47,7,0,5
50,4,1,5
80,6,1,3
29,4,0,5
34,2,0,5
156,4,7,5
73,2,1,4
25,2,0,5
31,4,0,5
112,7,0,5
240,10,2,4
146,0,5,4
38,3,0,5
27,3,0,5
52,7,1,4
80,6,1,5
34,3,1,5
63,3,0,5
24,2,1,4
31,5,0,5
26,3,0,5
261,11,1,5
141,6,4,4
24,4,0,5
29,7,0,5
72,10,1,5
117,8,5,4
166,10,5,5
20,1,0,5
167,7,1,5
22,3,0,5
99,4,2,5
81,4,4,5
1018,23,15,5
26,4,0,5
31,1,1,5
48,3,0,5
49,2,0,4
58,1,1,5
45,8,0,5
29,7,1,5
32,3,1,5
24,3,1,4
87,3,1,4
59,0,1,5
32,0,0,5
48,4,1,4
30,4,1,4
130,6,2,5
37,1,0,5
136,4,2,5
58,1,0,3
25,0,0,4
36,4,0,5
25,3,0,5
52,3,1,5
27,3,1,4
37,2,1,5
64,0,0,5
180,12,3,5
34,2,0,5
29,3,1,5
106,6,1,5
38,2,1,5
29,3,0,4
98,6,0,1
122,10,2,5
231,13,12,5
118,3,3,5
68,4,1,5
424,8,4,4
38,5,0,5
153,8,1,5
287,16,0,4
23,3,0,4
62,4,1,5
33,1,0,3
29,2,0,5
49,1,3,1
175,9,4,3
133,6,1,4
20,3,2,4
35,3,1,3
29,3,0,5
289,11,5,5
113,1,0,5
124,8,2,5
28,1,0,5
427,21,9,5
219,5,5,5
120,7,2,4
107,6,5,3
56,3,1,1
50,2,0,3
58,4,1,4
61,7,1,5
250,9,4,5
37,4,2,2
157,6,1,4
191,9,1,4
120,6,1,5
39,0,1,1
37,3,0,5
41,0,2,5
34,2,1,5
28,3,0,4
26,2,1,3
61,2,2,5
38,4,0,5
114,8,3,5
32,5,0,5
167,8,2,5
131,10,0,4
49,4,0,5
29,3,1,5
22,0,2,5
36,2,4,5
164,5,4,3
158,11,3,5
53,2,0,5
27,2,1,5
72,4,1,5
80,6,2,5
157,2,4,3
39,4,1,5
98,12,2,5
183,3,8,1
342,21,9,5
65,6,4,5
415,18,10,3
57,3,0,5
32,2,1,5
22,3,0,5
40,1,3,5
68,6,0,5
290,17,2,5
154,8,1,5
118,11,2,4
36,4,0,5
35,2,1,5
235,1,5,3
27,3,0,5
74,4,1,3
115,7,1,5
52,2,3,4
28,3,0,5
30,4,1,5
32,4,1,4
211,10,7,5
87,8,2,2
184,4,3,3
53,1,3,3
400,18,4,5
115,6,2,5
142,7,4,4
29,4,1,4
35,3,1,5
102,5,6,4
88,11,0,5
49,3,1,5
70,2,2,5
46,4,0,5
143,3,5,5
346,9,8,5
92,3,2,5
93,3,1,5
28,1,0,4
141,9,3,4
28,6,1,5
25,2,0,5
191,10,6,5
87,1,2,5
111,7,6,5
46,3,0,5
33,3,3,4
39,1,1,3
31,1,0,5
225,16,9,4
72,1,1,3
75,2,2,5
29,3,0,5
59,5,0,5
83,5,2,5
31,1,1,4
231,14,2,4
92,8,2,4
28,4,0,5
40,2,0,5
44,2,1,4
22,1,1,4
149,7,0,5
37,1,0,5
69,9,2,4
161,5,6,5
42,4,1,5
123,5,2,2
37,2,4,2
323,9,4,5
55,2,1,5
123,8,3,5
30,3,0,5
24,0,2,5
29,3,1,5
71,2,2,2
99,5,0,5
148,2,1,4
28,1,1,5
29,5,0,5
44,5,0,3
73,4,3,5
36,5,0,5
87,8,0,5
146,6,2,5
99,6,0,5
93,5,0,5
54,3,1,5
31,2,0,5
32,4,0,5
27,1,0,5
302,12,5,5
54,6,0,5
28,1,0,3
274,13,2,4
26,6,0,5
122,8,0,5
70,4,3,5
25,1,2,5
26,3,1,5
287,11,10,5
30,1,2,5
68,1,1,5
22,1,0,5
80,4,1,3
37,4,0,5
73,2,1,5
78,3,2,4
44,1,1,5
62,3,3,4
58,1,1,5
737,45,10,4
89,5,2,5
37,2,0,5
23,4,0,5
32,1,0,5
107,3,1,5
37,1,0,5
42,2,0,5
75,2,2,3
41,5,0,5
3,1,0,4
51,5,1,3
180,5,4,4
29,2,1,5
56,3,1,5
62,4,0,5
26,3,0,5
34,2,0,5
59,3,2,5
43,5,0,4
28,3,1,5
41,2,2,4
31,3,2,2
157,4,3,4
34,3,2,5
33,1,0,5
85,1,2,3
88,3,0,5
28,2,1,5
32,2,0,5
43,2,2,5
42,3,0,5
191,5,6,4
449,17,8,4
300,11,4,5
469,15,9,4
31,2,1,5
440,17,3,4
27,0,1,5
43,1,0,5
18,0,0,5
112,3,0,5
216,10,6,4
50,3,0,5
154,15,4,5
27,2,0,4
62,3,5,2
70,0,1,5
55,4,0,4
27,1,1,5
199,13,1,5
130,2,2,5
29,2,0,5
35,2,0,5
71,0,1,3
129,6,3,4
210,14,5,5
82,2,3,1
276,9,1,5
158,4,4,3
80,5,2,5
305,19,5,5
242,8,2,1
373,19,7,5
32,4,1,5
31,4,1,5
112,7,2,3
409,12,5,4
75,7,1,5
32,3,1,4
162,4,1,4
57,3,1,5
29,4,2,5
59,5,1,5
41,5,2,4
52,3,3,5
420,20,7,5
24,4,0,5
95,2,2,5
76,2,1,4
42,3,0,5
1123,38,23,2
61,6,0,4
22,3,0,5
44,6,0,5
27,1,0,5
95,6,1,3
73,4,5,5
211,12,1,5
46,5,1,5
81,8,2,5
335,17,5,3
66,5,2,5
42,6,0,5
41,1,1,3
30,5,1,5
39,4,0,5
140,3,7,5
78,3,0,5
141,10,5,5
29,1,0,4
164,8,6,4
25,2,0,5
36,3,0,5
67,3,2,5
155,6,4,5
46,2,3,5
25,2,2,5
261,14,9,5
22,2,0,5
37,5,1,4
64,2,1,5
142,10,3,4
33,1,0,5
43,1,2,5
28,5,0,5
24,2,2,5
212,10,3,5
58,2,2,3
165,8,4,5
29,4,0,5
232,13,3,5
118,9,4,5
91,6,0,5
25,4,0,5
49,3,4,5
149,3,1,4
73,2,4,3
58,3,1,5
298,14,3,5
209,14,4,5
114,5,1,5
50,2,1,2
31,5,0,4
199,7,8,4
193,4,2,5
38,3,1,5
70,3,3,5
57,4,0,5
194,8,4,5
26,2,3,5
12,4,1,5
20,3,0,5
98,2,0,5
39,3,0,5
30,3,1,3
297,9,8,5
61,3,2,4
24,1,0,4
88,7,1,5
47,4,1,3
81,5,3,4
342,19,3,3
44,6,0,5
101,2,1,4
41,5,1,4
27,1,1,4
59,6,0,5
108,8,3,3
173,6,7,4
32,4,1,5
72,5,1,4
42,6,1,5
39,4,0,4
27,2,0,5
110,1,2,5
113,6,1,5
300,7,1,5
28,2,0,5
30,2,0,5
132,10,0,5
35,2,1,5
109,4,3,2
35,2,0,5
49,8,0,5
79,1,1,3
234,4,5,1
342,17,12,5
26,1,0,5
23,3,0,5
220,9,5,5
65,5,3,5
92,6,2,5
30,3,0,5
27,5,0,5
23,4,0,4
160,8,0,5
102,8,1,4
61,6,3,5
26,4,0,5
43,4,0,4
81,3,2,5
84,1,4,4
27,7,0,5
187,11,4,5
30,1,0,5
28,3,0,5
21,3,0,5
131,8,3,4
59,2,2,5
208,4,12,4
66,4,3,1
91,8,3,5
29,3,0,4
359,12,1,4
343,6,2,5
561,24,17,4
156,4,2,5
133,3,1,5
53,2,2,2
27,1,2,3
22,2,1,5
383,19,7,2
43,3,0,4
245,12,6,3
64,8,0,5
56,4,1,5
71,2,0,4
5,1,0,5
275,8,1,5
44,4,0,5
85,2,4,2
123,7,2,5
29,0,0,5
60,2,2,4
163,10,1,5
23,2,0,4
109,5,0,5
29,4,0,5
54,4,2,5
28,4,0,5
29,1,0,5
79,5,0,5
69,6,0,5
77,5,1,5
165,10,3,5
36,4,2,5
22,0,0,5
94,7,3,5
52,4,0,4
70,4,0,5
71,6,1,5
134,7,1,5
136,5,0,5
83,6,2,5
66,3,1,5
48,2,0,5
200,2,5,5
59,3,1,5
24,4,0,5
75,4,1,4
85,5,2,5
136,10,3,4
96,1,5,5
49,4,0,4
31,2,1,5
153,7,8,5
130,5,3,5
241,8,4,4
25,4,0,4
65,5,0,5
274,15,3,4
61,7,0,5
52,3,0,5
34,1,1,3
388,17,7,5
39,4,0,5
46,3,2,4
83,3,1,5
23,2,0,4
507,27,11,4
60,5,0,5
37,1,0,5
21,1,1,5
209,8,2,5
133,7,0,5
45,0,0,5
241,17,3,5
25,1,0,5
100,10,1,5
73,3,0,5
55,2,2,5
49,5,1,5
182,6,3,5
52,4,1,4
26,1,0,5
41,6,0,5
53,5,2,5
59,5,1,5
366,14,10,5
43,3,0,4
278,2,5,2
30,4,1,3
25,4,0,5
38,1,2,1
37,3,1,2
204,7,4,4
28,2,0,5
49,5,0,5
32,3,0,5
44,2,2,5
232,15,4,5
33,1,1,5
43,3,0,5
29,2,2,5
81,5,1,5
194,7,3,5
33,2,1,5
389,16,6,2
24,0,2,3
101,5,4,5
71,3,1,4
122,9,2,4
45,6,1,5
226,5,2,5
47,3,1,5
89,4,1,5
57,2,3,5
65,2,3,1
85,8,0,5
27,1,1,4
23,2,0,5
121,14,3,5
237,9,5,5
79,7,3,5
276,12,6,5
288,8,5,5
61,5,0,5
97,6,4,5
151,4,2,1
36,1,0,5
25,4,0,5
22,3,0,5
135,4,5,3
182,5,1,3
69,2,1,5
316,15,2,5
76,13,1,5
74,3,5,5
156,8,4,5
443,21,13,5
38,4,2,5
241,10,5,5
27,3,0,5
98,6,0,4
95,9,1,5
36,3,0,5
112,7,3,4
47,5,2,5
69,0,3,5
25,0,1,5
400,21,13,3
26,5,0,5
75,4,1,4
21,2,1,4
53,3,1,5
188,18,2,5
70,5,0,5
48,5,0,4
26,3,0,4
33,5,0,5
53,3,1,4
102,3,0,5
43,4,0,5
214,10,8,3
125,7,1,5
47,2,0,4
60,4,0,5
298,3,5,2
96,7,2,5
38,4,2,5
78,4,0,3
235,10,4,4
50,2,0,5
90,7,1,5
75,3,2,5
40,2,0,5
75,1,2,3
192,5,3,3
169,6,0,3
24,2,0,5
124,7,2,5
469,19,13,4
52,5,2,4
46,2,0,5
125,6,5,4
104,5,3,3
82,2,1,4
33,5,0,5
30,4,2,5
86,6,2,5
24,0,0,5
23,4,0,5
27,5,0,5
32,4,1,5
31,3,0,5
52,8,0,5
29,3,1,5
47,2,0,5
137,2,4,4
393,20,9,5
117,6,2,5
27,2,0,3
45,3,2,5
47,3,0,5
297,15,6,4
119,4,2,4
28,2,1,5
67,3,3,4
166,15,2,4
185,3,5,2
27,3,0,5
135,6,5,3
144,3,0,5
315,16,5,5
36,5,2,5
68,4,2,3
125,7,2,5
22,3,0,5
73,5,3,2
213,4,3,4
24,2,0,5
22,0,1,4
215,11,1,5
281,9,8,5
25,2,0,4
311,17,12,4
54,0,2,2
58,5,3,5
65,2,1,5
30,1,1,5
37,4,0,5
85,6,4,4
132,8,5,2
106,4,2,3
109,9,3,4
45,9,0,5
45,3,2,5
48,1,0,4
64,1,0,5
33,0,0,5
40,1,2,5
76,4,1,2
69,2,4,5
152,9,9,5
104,5,1,4
85,4,1,5
35,3,0,5
37,4,0,4
125,4,4,5
77,4,1,5
106,5,1,5
42,5,0,5
59,2,0,4
31,3,1,4
129,10,3,5
26,3,0,4
132,11,0,5
126,4,7,3
39,1,1,2
37,4,0,4
48,2,0,5
194,7,4,5
26,1,1,4
26,2,0,5
191,4,5,5
481,13,9,4
70,6,4,5
56,5,2,5
32,2,0,4
465,35,5,4
91,5,2,5
45,3,1,5
56,4,1,5
74,4,0,5
63,5,0,5
223,15,2,5
41,3,1,5
59,3,0,2
25,3,0,5
1340,73,27,5
321,18,5,5
63,9,1,5
16,0,0,2
23,6,0,5
43,3,2,4
19,1,1,5
99,4,0,5
44,3,0,5
153,8,3,5
112,3,6,5
110,5,0,5
95,6,3,5
102,3,2,4
68,2,4,2
96,4,1,4
27,4,0,5
677,44,17,4
55,1,1,1
90,1,2,4
168,11,2,4
85,1,3,3
201,6,1,4
46,7,2,5
34,5,0,5
62,3,0,4
281,16,7,5
76,1,1,5
173,8,4,5
109,7,1,5
130,2,2,4
42,4,1,4
496,21,9,5
27,2,1,5
79,3,1,4
42,4,2,5
50,5,1,5
1547,50,21,5
32,2,1,4
236,6,3,5
71,4,0,5
48,2,2,3
49,4,0,5
27,5,1,5
37,3,0,5
37,2,0,5
206,9,2,5
172,10,3,5
26,3,0,5
225,8,4,4
47,3,0,5
97,6,2,5
180,11,4,5
38,2,1,5
83,5,1,4
326,20,6,4
53,3,0,5
32,5,0,5
102,4,2,5
75,2,0,4
249,8,4,4
53,7,0,2
285,8,8,5
131,8,0,5
299,10,4,5
31,2,0,5
279,18,6,5
1423,46,24,5
30,1,0,5
102,3,1,4
34,4,0,5
76,4,2,4
59,8,0,5
49,1,1,3
79,4,1,5
140,6,0,4
68,5,0,4
112,7,0,4
31,5,0,5
138,4,2,5
42,2,0,5
30,2,0,5
38,4,0,5
43,4,0,4
58,3,0,5
44,2,1,5
84,5,2,3
33,5,1,5
180,12,2,4
47,2,0,4
74,6,1,5
81,2,1,5
26,2,1,5
97,2,1,5
